Episode,Steps,Time_s,Total_Reward,Avg_Reward,Final_Distance_m,Max_Speed_mph,Crashes,Final_Damage,Buffer_Size,Timestamp
71,7,5.4,-17.82,-2.55,0.9,5.7,1,0.00,988,2025-12-27 14:16:17
72,25,11.7,36.51,1.46,0.9,5.6,1,0.00,1013,2025-12-27 14:16:31
73,20,10.0,24.32,1.22,0.9,5.5,1,0.00,1033,2025-12-27 14:16:43
74,7,5.5,-17.03,-2.43,1.0,5.5,1,0.00,1040,2025-12-27 14:16:50
75,26,12.0,44.07,1.70,1.1,5.3,1,0.00,1066,2025-12-27 14:17:04
76,10,6.5,-10.64,-1.06,0.7,5.5,1,0.00,1076,2025-12-27 14:17:13
77,11,6.8,-4.03,-0.37,0.8,5.6,1,0.00,1087,2025-12-27 14:17:21
78,15,8.3,-0.72,-0.05,0.7,5.8,1,0.00,1102,2025-12-27 14:17:32
79,10,6.5,-9.27,-0.93,0.9,5.6,1,0.00,1112,2025-12-27 14:17:40
80,18,9.3,15.60,0.87,0.8,5.6,1,0.00,1130,2025-12-27 14:17:51
81,12,7.2,-6.11,-0.51,0.9,5.5,1,0.00,1142,2025-12-27 14:18:00
82,13,7.5,-0.34,-0.03,0.9,5.6,1,0.00,1155,2025-12-27 14:18:10
83,6,5.1,-18.04,-3.01,1.0,5.3,1,0.00,1161,2025-12-27 14:18:17
84,20,9.9,18.76,0.94,0.8,5.8,1,0.00,1181,2025-12-27 14:18:29
85,7,5.5,-16.13,-2.30,0.9,5.5,1,0.00,1188,2025-12-27 14:18:36
86,131,49.8,211.83,1.62,0.9,5.7,0,0.00,1319,2025-12-27 14:19:28
87,7,5.5,-15.88,-2.27,0.8,5.7,1,0.00,1326,2025-12-27 14:19:36
88,17,8.9,11.14,0.66,7.7,2.1,1,0.00,1343,2025-12-27 14:19:46
89,15,8.2,4.43,0.30,0.6,5.5,1,0.00,1358,2025-12-27 14:19:57
90,9,6.1,-13.47,-1.50,0.9,5.5,1,0.00,1367,2025-12-27 14:20:05
91,9,6.1,-11.64,-1.29,0.9,5.6,1,0.00,1376,2025-12-27 14:20:13
92,17,8.9,11.27,0.66,0.9,5.5,1,0.00,1393,2025-12-27 14:20:24
93,23,11.0,31.66,1.38,0.9,5.5,1,0.00,1416,2025-12-27 14:20:37
94,9,6.1,-10.13,-1.13,0.9,5.6,1,0.00,1425,2025-12-27 14:20:45
95,12,7.2,-0.81,-0.07,1.1,5.1,1,0.00,1437,2025-12-27 14:20:54
96,9,6.1,-10.83,-1.20,0.9,5.7,1,0.00,1446,2025-12-27 14:21:02
97,9,6.1,-15.99,-1.78,0.9,5.7,1,0.00,1455,2025-12-27 14:21:10
98,49,20.1,122.29,2.50,0.8,5.7,1,0.00,1504,2025-12-27 14:21:32
99,8,5.8,-15.12,-1.89,0.9,5.6,1,0.00,1512,2025-12-27 14:21:40
100,34,14.8,73.17,2.15,0.7,5.7,1,0.00,1546,2025-12-27 14:21:57
