Episode,Steps,Time_s,Total_Reward,Avg_Reward,Final_Distance_m,Max_Speed_mph,Crashes,Final_Damage,Buffer_Size,Timestamp
1,8,5.8,-15.56,-1.95,0.8,7.1,1,0.00,8,2026-01-03 21:20:19
2,12,7.2,-52.39,-4.37,1.2,8.2,2,0.00,20,2026-01-03 21:20:26
3,14,7.9,-49.61,-3.54,1.2,8.2,3,0.00,34,2026-01-03 21:20:34
4,41,17.4,18.22,0.44,0.9,7.4,4,0.00,75,2026-01-03 21:20:51
5,10,6.5,-40.80,-4.08,1.2,8.3,5,0.00,85,2026-01-03 21:20:58
6,17,9.1,-30.51,-1.79,1.0,7.7,6,0.00,102,2026-01-03 21:21:07
7,21,10.3,-44.10,-2.10,0.9,7.9,7,0.00,123,2026-01-03 21:21:17
8,30,13.5,-30.80,-1.03,1.5,8.5,8,0.00,153,2026-01-03 21:21:31
9,16,8.6,-42.27,-2.64,1.0,8.1,9,0.00,169,2026-01-03 21:21:40
10,17,8.9,-48.68,-2.86,1.0,8.1,10,0.00,186,2026-01-03 21:21:49
11,11,6.9,-39.90,-3.63,0.9,7.6,11,0.00,197,2026-01-03 21:21:55
12,9,6.2,-34.73,-3.86,1.0,7.8,12,0.00,206,2026-01-03 21:22:02
13,11,6.9,-32.84,-2.99,0.9,7.6,13,0.00,217,2026-01-03 21:22:09
14,25,11.7,-23.05,-0.92,1.3,8.4,14,0.00,242,2026-01-03 21:22:20
15,11,6.9,-49.31,-4.48,1.0,7.9,15,0.00,253,2026-01-03 21:22:27
16,17,9.0,-26.23,-1.54,1.1,8.2,16,0.00,270,2026-01-03 21:22:36
17,7,5.4,-41.71,-5.96,0.9,7.6,17,0.00,277,2026-01-03 21:22:42
18,11,6.9,-38.24,-3.48,0.8,7.4,18,0.00,288,2026-01-03 21:22:49
19,9,6.2,-31.36,-3.48,1.0,8.0,19,0.00,297,2026-01-03 21:22:55
20,11,6.9,-31.52,-2.87,1.1,8.1,20,0.00,308,2026-01-03 21:23:02
21,20,9.9,-38.06,-1.90,1.1,8.0,21,0.00,328,2026-01-03 21:23:12
22,17,9.0,-51.27,-3.02,1.0,7.8,22,0.00,345,2026-01-03 21:23:21
23,14,7.9,-45.17,-3.23,1.4,8.3,23,0.00,359,2026-01-03 21:23:29
