Episode,Step,Timestamp,Speed_ms,Throttle,Steering,Brake,Damage,Damage_Increase,Total_Damage,Gx,Gy,Gz,Distance_From_Origin,Distance_From_Checkpoint,Position_X,Position_Y,Position_Z,Position_Delta,Stationary_Timer,Crash_Detected,Stationary_Timeout,Flipped,Reward,Event_Type
0,0,2026-01-03 21:07:43.299,8.32,0.99,242.77,0.17,0.000,0.000,0.000,4.68,-2.70,-10.00,7.2,7.2,-722.3,95.6,118.5,2.579,0.0,False,False,False,2.12,
0,1,2026-01-03 21:07:43.639,9.35,0.54,304.97,0.04,0.000,0.000,0.000,8.13,-1.69,-9.06,10.1,10.1,-723.8,93.0,118.4,2.802,0.0,False,False,False,2.30,
0,2,2026-01-03 21:07:43.978,9.59,0.52,-115.74,0.16,0.000,0.000,0.000,-2.47,-0.27,-10.86,13.1,13.1,-724.8,90.0,118.4,3.024,0.0,False,False,False,2.39,
0,3,2026-01-03 21:07:44.317,10.21,0.64,-326.03,0.05,0.000,0.000,0.000,-7.10,-1.31,-9.78,16.2,16.2,-726.0,87.1,118.4,2.968,0.0,False,False,False,2.49,
0,4,2026-01-03 21:07:44.657,11.02,0.33,119.92,0.01,0.000,0.000,0.000,1.43,-3.36,-10.42,19.4,19.4,-727.8,84.5,118.4,2.998,0.0,False,False,False,2.60,
0,5,2026-01-03 21:07:45.024,11.22,0.96,318.42,0.01,0.000,0.000,0.000,11.52,-0.75,-8.17,23.1,23.1,-729.7,81.3,118.4,3.335,0.0,False,False,False,2.79,
0,6,2026-01-03 21:07:45.378,11.18,0.84,16.71,0.06,1436.653,0.000,1436.653,7.13,-3.68,-1.59,26.5,26.5,-731.0,78.1,118.5,3.288,0.0,True,False,False,-27.26,CRASH
0,7,2026-01-03 21:07:48.793,2.11,0.75,42.48,0.30,0.000,0.000,0.000,0.29,1.80,-10.12,1.7,24.8,-718.5,99.6,118.5,0.711,0.0,False,False,False,0.00,
0,8,2026-01-03 21:07:49.140,2.06,0.48,149.83,0.17,0.000,0.000,0.000,0.22,0.39,-9.77,2.4,24.2,-719.0,99.1,118.5,0.651,0.0,False,False,False,0.00,
0,9,2026-01-03 21:07:49.475,2.07,0.48,89.15,0.16,0.000,0.000,0.000,0.05,-0.17,-9.48,3.1,23.5,-719.4,98.5,118.5,0.653,0.0,False,False,False,0.00,
0,10,2026-01-03 21:07:49.811,1.58,0.65,-175.25,0.27,0.000,0.000,0.000,-1.31,1.43,-9.79,3.7,22.9,-719.8,98.1,118.5,0.577,0.0,False,False,False,0.00,
0,11,2026-01-03 21:07:50.157,2.08,0.58,182.04,0.10,0.000,0.000,0.000,1.74,-1.52,-10.11,4.3,22.3,-720.2,97.6,118.5,0.563,0.0,False,False,False,0.00,
