Episode,Steps,Time_s,Total_Reward,Avg_Reward,Final_Distance_m,Max_Speed_mph,Crashes,Final_Damage,Buffer_Size,Timestamp
1,9,6.3,-2.96,-0.33,1.4,10.3,1,0.00,9,2026-01-03 20:02:26
2,15,8.5,3.66,0.24,2.1,10.8,1,0.00,24,2026-01-03 20:02:36
3,13,7.8,-2.72,-0.21,1.4,9.4,1,0.00,37,2026-01-03 20:02:46
4,7,5.5,-18.40,-2.63,1.7,10.1,1,0.00,44,2026-01-03 20:02:54
5,20,10.3,18.50,0.93,2.1,10.8,1,0.00,64,2026-01-03 20:03:06
6,16,8.9,10.47,0.65,1.4,9.5,1,0.00,80,2026-01-03 20:03:17
7,22,11.0,27.86,1.27,1.5,9.8,1,0.00,102,2026-01-03 20:03:30
8,13,7.8,-0.76,-0.06,2.1,10.8,1,0.00,115,2026-01-03 20:03:40
9,11,7.1,-29.19,-2.65,1.5,9.9,1,0.00,126,2026-01-03 20:03:49
10,16,8.8,6.09,0.38,1.2,8.8,1,0.00,142,2026-01-03 20:04:00
11,10,6.7,-12.08,-1.21,1.4,9.4,1,0.00,152,2026-01-03 20:04:08
12,8,6.0,-14.70,-1.84,1.4,9.6,1,0.00,160,2026-01-03 20:04:16
13,27,12.9,-15.50,-0.57,0.2,0.0,0,0.00,187,2026-01-03 20:04:31
