Episode,Steps,Time_s,Total_Reward,Avg_Reward,Final_Distance_m,Max_Speed_mph,Crashes,Final_Damage,Buffer_Size,Timestamp
1,7,5.5,-12.58,-1.80,0.9,5.5,1,0.00,7,2026-01-03 21:07:48
2,21,10.3,-8.82,-0.42,0.8,5.4,2,0.00,28,2026-01-03 21:07:58
3,14,7.9,-30.00,-2.14,0.9,5.5,3,0.00,42,2026-01-03 21:08:06
4,20,10.0,-8.02,-0.40,5.8,2.3,4,0.00,62,2026-01-03 21:08:16
5,21,10.4,-24.12,-1.15,0.8,5.3,4,0.00,83,2026-01-03 21:08:27
6,20,10.0,-29.68,-1.48,0.8,5.4,5,0.00,103,2026-01-03 21:08:37
7,16,8.6,-30.00,-1.88,1.0,5.7,6,0.00,119,2026-01-03 21:08:45
8,13,7.5,-30.00,-2.31,0.8,5.3,7,0.00,132,2026-01-03 21:08:53
9,15,8.3,-27.26,-1.82,1.0,5.7,8,0.00,147,2026-01-03 21:09:01
10,16,8.5,-25.09,-1.57,1.0,5.7,9,0.00,163,2026-01-03 21:09:10
11,10,6.5,-30.00,-3.00,1.0,5.7,10,0.00,173,2026-01-03 21:09:16
12,11,7.6,-24.32,-2.21,0.9,5.5,11,0.00,184,2026-01-03 21:09:24
13,32,14.7,28.12,0.88,1.0,5.7,12,0.00,216,2026-01-03 21:09:39
14,16,8.6,-40.00,-2.50,0.8,5.3,13,0.00,232,2026-01-03 21:09:47
15,37,15.9,29.95,0.81,0.8,5.4,14,0.00,269,2026-01-03 21:10:03
16,14,7.9,-30.00,-2.14,0.8,5.4,15,0.00,283,2026-01-03 21:10:11
17,18,9.4,-12.65,-0.70,1.0,5.7,16,0.00,301,2026-01-03 21:10:20
18,21,10.3,-30.00,-1.43,0.9,5.6,17,0.00,322,2026-01-03 21:10:31
19,17,8.9,-30.00,-1.76,1.0,5.6,18,0.00,339,2026-01-03 21:10:40
20,50,20.3,66.11,1.32,0.9,5.5,19,0.00,389,2026-01-03 21:11:00
21,18,9.3,-30.00,-1.67,0.8,5.3,20,0.00,407,2026-01-03 21:11:09
22,31,13.8,14.62,0.47,0.8,5.5,21,0.00,438,2026-01-03 21:11:23
23,13,7.5,-30.00,-2.31,0.9,5.5,22,0.00,451,2026-01-03 21:11:31
