Episode,Step,Timestamp,Speed_ms,Throttle,Steering,Brake,Damage,Damage_Increase,Total_Damage,Gx,Gy,Gz,Distance_From_Origin,Distance_From_Checkpoint,Position_X,Position_Y,Position_Z,Position_Delta,Stationary_Timer,Crash_Detected,Stationary_Timeout,Flipped,Reward,Event_Type
1,0,2026-01-03 20:09:43.598,9.02,0.39,4.53,0.22,0.000,0.000,0.000,-0.20,-0.60,-9.96,9.4,9.4,-724.0,94.0,118.6,2.819,0.0,False,False,False,2.31,
1,1,2026-01-03 20:09:43.964,10.32,0.64,270.37,0.01,0.000,0.000,0.000,4.08,-2.89,-11.41,13.0,13.0,-726.4,91.4,118.6,3.207,0.0,False,False,False,2.63,
1,2,2026-01-03 20:09:44.330,10.63,0.38,5.31,0.11,0.000,0.000,0.000,3.14,-0.38,-9.61,16.8,16.8,-728.6,88.2,118.6,3.523,0.0,False,False,False,2.80,
1,3,2026-01-03 20:09:44.698,11.71,0.87,78.92,0.08,0.000,0.000,0.000,3.14,-2.94,-10.79,20.8,20.8,-730.6,84.6,118.5,3.708,0.0,False,False,False,2.99,
1,4,2026-01-03 20:09:45.064,12.16,0.91,145.51,0.25,0.000,0.000,0.000,5.69,-0.49,-12.91,25.0,25.0,-732.3,80.6,118.5,3.991,0.0,False,False,False,3.15,
1,5,2026-01-03 20:09:48.458,4.40,0.20,0.00,0.00,0.000,0.000,0.000,-0.05,-6.13,-7.98,1.3,27.5,-718.3,99.8,118.7,3.645,0.0,True,False,False,-27.65,CRASH
2,0,2026-01-03 20:09:48.857,6.05,0.91,-136.00,0.02,0.000,0.000,0.000,-1.99,-4.84,-10.59,3.4,25.5,-719.8,98.4,118.7,1.741,0.0,False,False,False,0.00,
2,1,2026-01-03 20:09:49.225,6.60,0.43,-333.74,0.07,0.000,0.000,0.000,-4.92,0.01,-9.45,5.7,23.4,-721.7,97.0,118.7,2.143,0.0,False,False,False,0.00,
2,2,2026-01-03 20:09:49.590,8.36,0.82,22.70,0.01,0.000,0.000,0.000,-1.95,-7.31,-11.09,8.3,21.3,-724.2,95.9,118.6,2.407,0.0,False,False,False,0.00,
2,3,2026-01-03 20:09:49.957,9.72,0.59,270.21,0.15,0.000,0.000,0.000,4.03,-1.49,-10.77,11.6,19.1,-727.4,94.8,118.6,3.078,0.0,False,False,False,0.00,
2,4,2026-01-03 20:09:50.325,10.39,1.00,-72.21,0.16,0.000,0.000,0.000,0.79,-2.05,-9.07,15.3,16.7,-730.7,93.2,118.6,3.351,0.0,False,False,False,0.00,
2,5,2026-01-03 20:09:50.691,10.89,0.70,-238.38,0.08,0.000,0.000,0.000,-5.55,-0.66,-9.82,19.2,14.8,-734.2,91.5,118.6,3.383,0.0,False,False,False,0.00,
