Episode,Steps,Time_s,Total_Reward,Avg_Reward,Final_Distance_m,Max_Speed_mph,Crashes,Final_Damage,Buffer_Size,Timestamp
1,6,5.2,-13.77,-2.30,1.4,10.1,1,0.00,6,2026-01-03 20:09:48
2,10,6.7,-24.66,-2.47,1.4,10.0,2,0.00,16,2026-01-03 20:09:55
3,9,6.3,-30.00,-3.33,1.2,9.5,3,0.00,25,2026-01-03 20:10:01
4,8,6.0,-30.00,-3.75,1.9,10.7,4,0.00,33,2026-01-03 20:10:07
5,8,6.0,-30.00,-3.75,1.4,6.6,5,0.00,41,2026-01-03 20:10:13
6,20,10.3,-15.54,-0.78,1.5,10.4,6,0.00,61,2026-01-03 20:10:23
7,9,6.4,-30.00,-3.33,1.3,9.8,7,0.00,70,2026-01-03 20:10:30
8,8,5.9,-48.20,-6.03,1.8,10.7,8,0.00,78,2026-01-03 20:10:36
9,10,6.7,-20.58,-2.06,1.8,10.7,9,0.00,88,2026-01-03 20:10:42
10,15,8.5,-21.46,-1.43,1.5,10.2,10,0.00,103,2026-01-03 20:10:51
11,12,7.4,-30.00,-2.50,1.6,10.5,11,0.00,115,2026-01-03 20:10:58
12,15,8.5,-24.09,-1.61,1.7,10.7,12,0.00,130,2026-01-03 20:11:07
13,9,6.3,-50.00,-5.56,1.2,9.6,13,0.00,139,2026-01-03 20:11:13
14,11,7.0,-43.88,-3.99,1.8,10.7,14,0.00,150,2026-01-03 20:11:20
15,9,6.3,-50.00,-5.56,1.2,9.6,15,0.00,159,2026-01-03 20:11:27
16,7,5.5,-30.00,-4.29,1.9,10.7,16,0.00,166,2026-01-03 20:11:32
17,18,9.7,-15.25,-0.85,1.9,10.8,17,0.00,184,2026-01-03 20:11:42
18,8,5.9,-30.00,-3.75,1.4,10.1,18,0.00,192,2026-01-03 20:11:48
19,20,10.3,-16.27,-0.81,1.9,10.7,19,0.00,212,2026-01-03 20:11:58
20,17,9.3,-27.83,-1.64,1.9,10.7,20,0.00,229,2026-01-03 20:12:08
21,9,6.3,-30.00,-3.33,1.7,10.6,21,0.00,238,2026-01-03 20:12:14
22,7,5.6,-30.00,-4.29,1.6,10.6,22,0.00,245,2026-01-03 20:12:20
23,10,6.7,-24.19,-2.42,1.8,10.7,23,0.00,255,2026-01-03 20:12:26
24,22,11.1,5.29,0.24,1.3,9.8,24,0.00,277,2026-01-03 20:12:37
25,13,7.8,-50.00,-3.85,1.5,10.2,25,0.00,290,2026-01-03 20:12:45
26,13,7.8,-25.72,-1.98,1.5,10.3,26,0.00,303,2026-01-03 20:12:53
27,14,8.1,-25.55,-1.83,1.5,10.4,27,0.00,317,2026-01-03 20:13:01
28,10,6.7,-50.00,-5.00,1.4,10.2,28,0.00,327,2026-01-03 20:13:08
29,9,6.3,-50.00,-5.56,1.5,10.3,29,0.00,336,2026-01-03 20:13:14
30,10,6.6,-24.69,-2.47,1.7,10.6,30,0.00,346,2026-01-03 20:13:21
31,8,6.0,-30.00,-3.75,1.2,9.7,31,0.00,354,2026-01-03 20:13:27
32,7,5.6,-25.14,-3.59,1.5,6.5,32,0.00,361,2026-01-03 20:13:33
33,20,10.3,-29.36,-1.47,1.5,10.4,33,0.00,381,2026-01-03 20:13:43
34,17,9.2,-23.58,-1.39,1.8,10.7,34,0.00,398,2026-01-03 20:13:52
35,10,6.7,-30.00,-3.00,2.0,10.8,35,0.00,408,2026-01-03 20:13:59
36,58,24.4,126.25,2.18,1.2,9.6,36,0.00,466,2026-01-03 20:14:23
37,9,6.3,-50.00,-5.56,1.8,10.7,37,0.00,475,2026-01-03 20:14:30
38,26,12.5,26.54,1.02,1.5,10.2,38,0.00,501,2026-01-03 20:14:42
39,10,6.7,-30.00,-3.00,1.4,10.1,39,0.00,511,2026-01-03 20:14:49
40,20,10.4,-0.84,-0.04,1.8,10.7,40,0.00,531,2026-01-03 20:14:59
41,15,8.5,-30.00,-2.00,2.0,10.8,41,0.00,546,2026-01-03 20:15:08
42,7,5.6,-30.00,-4.29,1.3,9.8,42,0.00,553,2026-01-03 20:15:14
43,20,10.4,9.89,0.49,1.3,9.6,43,0.00,573,2026-01-03 20:15:24
44,12,7.4,-30.00,-2.50,1.4,10.1,44,0.00,585,2026-01-03 20:15:31
45,16,8.9,-17.36,-1.08,1.5,10.3,45,0.00,601,2026-01-03 20:15:40
46,12,7.5,-50.00,-4.17,1.3,9.8,46,0.00,613,2026-01-03 20:15:48
47,14,8.2,-27.03,-1.93,1.2,9.6,47,0.00,627,2026-01-03 20:15:56
