Episode,Step,Timestamp,Speed_ms,Throttle,Steering,Brake,Damage,Damage_Increase,Total_Damage,Gx,Gy,Gz,Distance_From_Origin,Distance_From_Checkpoint,Position_X,Position_Y,Position_Z,Position_Delta,Stationary_Timer,Crash_Detected,Stationary_Timeout,Flipped,Reward,Event_Type
1,0,2026-01-03 20:02:20.202,11.75,0.59,-183.30,0.04,0.000,0.000,0.000,-3.43,-0.95,-10.90,16.1,16.1,-728.8,89.3,118.6,3.853,0.0,False,False,False,3.10,
1,1,2026-01-03 20:02:20.570,12.21,0.62,77.12,0.24,0.000,0.000,0.000,-1.10,-2.65,-10.50,20.4,20.4,-732.2,86.6,118.6,3.950,0.0,False,False,False,3.18,
1,2,2026-01-03 20:02:20.930,12.76,0.97,180.81,0.13,0.000,0.000,0.000,5.04,-0.29,-9.26,24.8,24.8,-735.6,83.8,118.5,3.978,0.0,False,False,False,3.26,
1,3,2026-01-03 20:02:21.298,12.67,0.67,256.39,0.29,0.000,0.000,0.000,5.06,0.97,-9.09,29.5,29.5,-738.8,80.4,118.5,4.238,0.0,False,False,False,3.38,
1,4,2026-01-03 20:02:21.647,12.95,0.66,231.91,0.02,0.000,0.000,0.000,6.92,-1.27,-9.75,33.8,33.8,-741.2,76.7,118.5,4.035,0.0,False,False,False,3.26,
1,5,2026-01-03 20:02:22.033,12.77,0.44,56.28,0.20,0.000,0.000,0.000,5.13,0.50,-9.48,38.4,38.4,-743.1,72.1,118.4,4.301,0.0,False,False,False,3.29,
1,6,2026-01-03 20:02:22.394,13.15,0.45,155.83,0.01,0.000,0.000,0.000,8.23,-1.98,-7.58,42.1,42.1,-744.2,68.2,118.4,3.676,0.0,False,False,False,2.98,
1,7,2026-01-03 20:02:22.754,12.48,0.39,222.33,0.03,0.000,0.000,0.000,1.25,4.42,-7.43,46.1,46.1,-744.9,63.7,118.5,4.084,0.0,False,False,False,3.05,
1,8,2026-01-03 20:02:26.128,4.48,0.20,0.00,0.00,0.000,0.000,0.000,-0.37,-7.04,-8.13,1.3,47.2,-718.4,99.7,118.7,2.252,0.0,True,False,False,-28.45,CRASH
2,0,2026-01-03 20:02:28.478,3.36,0.30,166.14,0.26,0.000,0.000,0.000,1.79,-2.49,-9.21,1.5,1.5,-718.3,99.8,118.7,0.947,0.0,False,False,False,0.81,
2,1,2026-01-03 20:02:28.829,4.87,0.37,316.62,0.03,0.000,0.000,0.000,2.24,-3.93,-8.04,2.9,2.9,-719.1,98.6,118.7,1.285,0.0,False,False,False,1.12,
2,2,2026-01-03 20:02:29.187,6.09,0.94,97.49,0.13,0.000,0.000,0.000,1.31,-4.25,-9.65,4.8,4.8,-720.0,96.9,118.7,1.717,0.0,False,False,False,1.45,
2,3,2026-01-03 20:02:29.553,6.88,0.42,-80.11,0.11,0.000,0.000,0.000,-1.66,-2.34,-10.50,7.2,7.2,-721.0,94.7,118.7,2.192,0.0,False,False,False,1.77,
2,4,2026-01-03 20:02:29.921,7.41,0.95,-246.04,0.21,0.000,0.000,0.000,-4.48,-1.18,-9.02,9.8,9.8,-722.2,92.4,118.6,2.385,0.0,False,False,False,1.93,
2,5,2026-01-03 20:02:30.304,8.19,0.46,-13.70,0.28,0.000,0.000,0.000,-2.46,-2.46,-9.58,12.7,12.7,-724.1,90.1,118.6,2.589,0.0,False,False,False,2.09,
2,6,2026-01-03 20:02:30.670,9.25,0.59,-74.23,0.06,0.000,0.000,0.000,-1.53,-2.46,-8.74,15.9,15.9,-726.4,88.0,118.6,2.912,0.0,False,False,False,2.34,
2,7,2026-01-03 20:02:31.023,10.44,0.94,-29.08,0.13,0.000,0.000,0.000,-1.92,-3.48,-10.36,19.2,19.2,-729.1,85.8,118.6,3.108,0.0,False,False,False,2.55,
2,8,2026-01-03 20:02:31.373,11.43,0.90,230.49,0.23,0.000,0.000,0.000,3.38,-1.47,-9.46,22.9,22.9,-732.1,83.4,118.5,3.467,0.0,False,False,False,2.83,
2,9,2026-01-03 20:02:31.738,11.76,0.99,100.66,0.29,0.000,0.000,0.000,4.61,-1.27,-9.84,27.2,27.2,-735.2,80.4,118.5,3.862,0.0,False,False,False,3.10,
2,10,2026-01-03 20:02:32.116,11.89,0.50,245.80,0.24,0.000,0.000,0.000,5.29,0.34,-7.44,31.5,31.5,-737.8,77.0,118.5,3.762,0.0,False,False,False,3.06,
2,11,2026-01-03 20:02:32.466,12.39,0.86,310.57,0.02,0.000,0.000,0.000,6.85,-0.73,-9.61,35.7,35.7,-739.8,73.3,118.4,3.838,0.0,False,False,False,3.12,
2,12,2026-01-03 20:02:32.818,12.10,0.56,99.85,0.23,0.000,0.000,0.000,4.56,-1.36,-6.25,39.7,39.7,-741.2,69.2,118.5,3.872,0.0,False,False,False,3.03,
2,13,2026-01-03 20:02:33.172,10.91,0.48,-182.39,0.18,72.747,72.747,72.747,-0.12,6.19,-4.87,43.4,43.4,-742.0,65.2,118.6,3.712,0.0,False,False,False,2.82,
2,14,2026-01-03 20:02:36.569,4.78,0.20,0.00,0.00,0.000,0.000,0.000,-0.28,-3.65,-9.96,2.0,43.6,-718.6,99.5,118.7,2.021,0.0,True,False,False,-28.36,CRASH
3,0,2026-01-03 20:02:38.929,3.26,0.30,111.88,0.28,0.000,0.000,0.000,0.55,-1.07,-9.89,1.4,1.4,-718.2,99.8,118.7,0.878,0.0,False,False,False,0.76,
3,1,2026-01-03 20:02:39.282,4.45,0.60,-8.11,0.17,0.000,0.000,0.000,-0.00,-4.28,-10.25,2.7,2.7,-719.1,98.8,118.7,1.185,0.0,False,False,False,1.03,
