Episode,Steps,Time_s,Total_Reward,Avg_Reward,Final_Distance_m,Max_Speed_mph,Crashes,Final_Damage,Buffer_Size,Timestamp
1,16,8.6,592.59,37.04,1.7,10.7,1,0.00,16,2026-01-04 10:06:08
2,27,12.5,869.11,32.19,1.8,10.7,2,0.00,43,2026-01-04 10:06:20
3,58,23.2,764.62,13.18,1.2,9.7,3,0.00,101,2026-01-04 10:06:43
4,17,9.0,747.70,43.98,1.1,9.4,4,0.00,118,2026-01-04 10:06:52
5,11,6.9,877.94,79.81,1.7,10.7,5,0.00,129,2026-01-04 10:06:59
6,18,9.3,887.40,49.30,1.6,10.7,6,0.00,147,2026-01-04 10:07:09
7,8,5.8,677.15,84.64,1.2,9.6,7,0.00,155,2026-01-04 10:07:15
8,10,6.5,779.63,77.96,1.4,10.2,8,0.00,165,2026-01-04 10:07:21
9,9,7.1,554.88,61.65,1.1,9.2,9,0.00,174,2026-01-04 10:07:28
10,11,6.9,881.71,80.16,1.2,9.6,10,0.00,185,2026-01-04 10:07:35
11,72,28.3,1026.84,14.26,1.2,9.6,11,0.00,257,2026-01-04 10:08:04
12,10,6.5,877.16,87.72,1.3,9.8,12,0.00,267,2026-01-04 10:08:10
13,17,9.0,885.56,52.09,1.2,9.6,13,0.00,284,2026-01-04 10:08:19
14,7,5.9,579.69,82.81,1.7,10.7,14,0.00,291,2026-01-04 10:08:25
15,16,8.6,876.64,54.79,1.3,9.9,15,0.00,307,2026-01-04 10:08:34
16,10,6.5,651.55,65.15,1.4,6.3,16,0.00,317,2026-01-04 10:08:40
17,16,8.6,852.98,53.31,1.7,10.7,17,0.00,333,2026-01-04 10:08:49
18,9,6.1,753.96,83.77,1.4,10.2,18,0.00,342,2026-01-04 10:08:55
19,13,7.6,882.20,67.86,1.5,10.4,19,0.00,355,2026-01-04 10:09:04
20,14,7.9,872.88,62.35,1.1,9.4,20,0.00,369,2026-01-04 10:09:11
21,16,8.6,869.76,54.36,1.3,9.9,21,0.00,385,2026-01-04 10:09:20
22,31,13.9,791.09,25.52,1.4,10.1,22,0.00,416,2026-01-04 10:09:34
23,12,7.2,765.15,63.76,0.5,7.2,23,0.00,428,2026-01-04 10:09:41
24,12,7.2,751.60,62.63,1.2,9.6,24,0.00,440,2026-01-04 10:09:49
25,21,10.4,883.53,42.07,1.3,9.8,25,0.00,461,2026-01-04 10:09:59
26,49,20.1,779.37,15.91,1.2,9.6,26,0.00,510,2026-01-04 10:10:19
27,15,8.6,852.98,56.87,1.8,10.7,27,0.00,525,2026-01-04 10:10:28
28,10,6.6,878.52,87.85,1.5,10.4,28,0.00,535,2026-01-04 10:10:34
29,10,6.5,653.14,65.31,1.1,9.2,29,0.00,545,2026-01-04 10:10:41
30,10,6.5,770.53,77.05,1.4,6.6,30,0.00,555,2026-01-04 10:10:47
31,10,6.5,673.44,67.34,1.2,9.7,31,0.00,565,2026-01-04 10:10:54
32,20,10.0,892.79,44.64,1.9,10.8,32,0.00,585,2026-01-04 10:11:04
33,4,5.4,273.01,68.25,1.3,6.3,33,0.00,589,2026-01-04 10:11:10
34,17,9.0,1160.07,68.24,1.6,10.6,34,0.00,606,2026-01-04 10:11:19
35,97,38.8,938.17,9.67,1.5,10.3,35,0.00,703,2026-01-04 10:11:57
36,8,5.8,581.70,72.71,1.4,6.5,36,0.00,711,2026-01-04 10:12:03
37,14,7.9,1080.49,77.18,1.7,10.7,37,0.00,725,2026-01-04 10:12:11
38,31,13.8,898.98,29.00,1.1,9.5,38,0.00,756,2026-01-04 10:12:25
39,19,9.6,770.43,40.55,1.1,9.2,39,0.00,775,2026-01-04 10:12:35
40,11,6.8,880.93,80.08,1.5,10.4,40,0.00,786,2026-01-04 10:12:41
41,9,6.1,774.98,86.11,1.2,9.6,41,0.00,795,2026-01-04 10:12:48
42,8,5.8,576.90,72.11,1.0,6.8,42,0.00,803,2026-01-04 10:12:53
