Episode,Step,Timestamp,Speed_ms,Throttle,Steering,Brake,Damage,Damage_Increase,Total_Damage,Gx,Gy,Gz,Distance_From_Origin,Distance_From_Checkpoint,Position_X,Position_Y,Position_Z,Position_Delta,Stationary_Timer,Crash_Detected,Stationary_Timeout,Flipped,Reward,Event_Type
0,0,2026-01-04 10:21:25.815,7.86,0.33,-225.23,0.00,0.000,0.000,0.000,-5.56,-1.63,-9.66,6.8,6.8,-722.2,96.1,118.5,2.249,0.0,False,False,False,102.19,
0,1,2026-01-04 10:21:26.174,8.68,0.77,-305.67,0.00,0.000,0.000,0.000,-7.84,-1.13,-9.29,9.5,9.5,-724.6,94.7,118.5,2.626,0.0,False,False,False,103.92,
0,2,2026-01-04 10:21:26.524,10.32,0.96,168.36,0.00,0.000,0.000,0.000,4.14,-6.24,-10.14,12.6,12.6,-727.8,93.8,118.4,3.138,0.0,False,False,False,101.28,
0,3,2026-01-04 10:21:26.873,11.22,0.77,-219.58,0.03,0.000,0.000,0.000,-5.24,-0.55,-9.00,16.3,16.3,-731.4,92.5,118.4,3.633,0.0,False,False,False,100.04,
0,4,2026-01-04 10:21:27.224,11.84,0.76,-109.24,0.10,0.000,0.000,0.000,-5.40,-2.79,-8.84,20.1,20.1,-735.3,91.9,118.4,3.800,0.0,False,False,False,100.96,
0,5,2026-01-04 10:21:27.583,12.44,0.65,62.52,0.09,301.694,0.000,301.694,3.30,0.45,-12.02,24.1,24.1,-739.6,91.6,118.4,3.924,0.0,True,False,False,71.33,CRASH
0,6,2026-01-04 10:21:30.967,3.13,0.88,226.72,0.03,0.000,0.000,0.000,1.59,-1.79,-9.38,2.0,22.3,-718.7,99.3,118.5,0.915,0.0,False,False,False,-0.04,
0,7,2026-01-04 10:21:31.317,3.69,0.66,-89.19,0.00,0.000,0.000,0.000,-2.46,-1.79,-10.31,3.2,21.3,-719.4,98.4,118.5,1.143,0.0,False,False,False,-0.57,
0,8,2026-01-04 10:21:31.667,4.68,0.41,145.96,0.00,0.000,0.000,0.000,2.77,-3.03,-10.11,4.6,20.1,-720.4,97.3,118.5,1.393,0.0,False,False,False,0.36,
0,9,2026-01-04 10:21:32.004,5.60,0.39,135.50,0.04,0.000,0.000,0.000,2.04,-2.56,-9.90,6.3,18.8,-721.3,95.9,118.5,1.632,0.0,False,False,False,102.02,
0,10,2026-01-04 10:21:32.441,6.61,0.85,-105.45,0.00,0.000,0.000,0.000,-3.44,-3.85,-9.83,8.1,17.5,-722.3,94.3,118.5,1.729,0.0,False,False,False,100.67,
0,11,2026-01-04 10:21:32.810,8.59,0.50,200.03,0.06,0.000,0.000,0.000,5.89,-3.90,-8.99,11.7,15.1,-724.5,91.5,118.4,2.621,0.0,False,False,False,100.73,
0,12,2026-01-04 10:21:33.144,9.86,0.57,-98.49,0.00,0.000,0.000,0.000,-3.58,-3.77,-9.52,14.8,13.8,-726.1,88.9,118.4,2.935,0.0,False,False,False,101.43,
0,13,2026-01-04 10:21:33.478,10.93,0.33,136.74,0.00,0.000,0.000,0.000,4.94,-2.66,-9.76,18.2,12.8,-728.1,86.1,118.4,3.304,0.0,False,False,False,102.39,
0,14,2026-01-04 10:21:33.829,11.75,0.61,30.41,0.10,0.000,0.000,0.000,1.91,-2.48,-9.24,22.2,13.2,-729.9,82.6,118.4,3.784,0.0,False,False,False,101.26,
0,15,2026-01-04 10:21:34.163,11.93,0.55,160.44,0.09,0.000,0.000,0.000,3.30,1.85,-9.08,26.1,15.1,-731.5,78.9,118.4,3.820,0.0,False,False,False,101.64,
