Episode,Steps,Time_s,Total_Reward,Avg_Reward,Final_Distance_m,Max_Speed_mph,Crashes,Final_Damage,Buffer_Size,Timestamp
1,6,5.1,579.71,96.62,1.0,5.7,1,0.00,6,2026-01-04 10:21:30
2,12,7.3,881.96,73.50,1.0,5.8,2,0.00,18,2026-01-04 10:21:37
3,12,7.2,873.07,72.76,13.5,20.2,3,0.00,30,2026-01-04 10:21:45
4,5,4.8,264.13,52.83,1.0,5.8,4,0.00,35,2026-01-04 10:21:49
5,8,5.8,475.05,59.38,10.4,15.7,5,0.00,43,2026-01-04 10:21:55
6,47,19.6,498.20,10.60,11.0,17.9,6,0.00,90,2026-01-04 10:22:15
7,3,4.1,-37.18,-12.39,10.6,1.7,7,8761.16,93,2026-01-04 10:22:19
8,1,3.4,67.65,67.65,12.1,18.7,8,0.00,94,2026-01-04 10:22:22
9,2,3.7,172.96,86.48,14.2,21.3,9,0.00,96,2026-01-04 10:22:26
10,1,3.4,67.70,67.70,8.5,12.0,10,0.00,97,2026-01-04 10:22:30
11,3,4.1,271.83,90.61,11.3,17.7,11,0.00,100,2026-01-04 10:22:34
12,1,3.4,-30.29,-30.29,10.1,14.1,12,0.00,101,2026-01-04 10:22:37
13,12,7.2,678.15,56.51,11.1,15.5,13,0.00,113,2026-01-04 10:22:44
14,2,3.7,170.66,85.33,14.0,20.5,14,0.00,115,2026-01-04 10:22:48
15,5,4.8,476.40,95.28,13.3,18.8,15,520.83,120,2026-01-04 10:22:53
16,1,3.4,-29.16,-29.16,12.4,18.9,16,0.00,121,2026-01-04 10:22:56
17,8,6.8,280.76,35.10,11.2,16.3,17,0.00,129,2026-01-04 10:23:03
18,3,4.1,273.28,91.09,10.0,14.1,18,0.00,132,2026-01-04 10:23:07
19,10,6.6,682.65,68.26,1.1,5.9,19,0.00,142,2026-01-04 10:23:14
20,20,10.0,882.91,44.15,10.6,15.0,20,0.00,162,2026-01-04 10:23:24
21,4,4.4,370.65,92.66,1.0,5.7,21,0.00,166,2026-01-04 10:23:29
22,15,8.3,877.81,58.52,12.8,18.9,22,0.00,181,2026-01-04 10:23:37
23,9,6.2,348.93,38.77,15.7,22.5,23,0.00,190,2026-01-04 10:23:43
24,8,5.8,339.28,42.41,9.4,13.8,24,0.00,198,2026-01-04 10:23:49
25,8,5.8,461.59,57.70,1.1,5.8,25,0.00,206,2026-01-04 10:23:55
26,16,8.7,881.75,55.11,9.5,12.7,26,0.00,222,2026-01-04 10:24:03
27,9,6.2,852.56,94.73,1.0,5.8,27,0.00,231,2026-01-04 10:24:10
28,12,7.3,683.40,56.95,1.1,5.8,28,0.00,243,2026-01-04 10:24:17
29,11,6.8,776.51,70.59,11.6,2.7,29,9298.56,254,2026-01-04 10:24:24
30,1,3.4,70.00,70.00,12.1,13.9,30,3146.16,255,2026-01-04 10:24:27
31,1,3.4,68.74,68.74,1.0,5.8,31,0.00,256,2026-01-04 10:24:31
32,19,9.7,800.30,42.12,1.0,5.7,32,0.00,275,2026-01-04 10:24:40
33,13,8.2,673.74,51.83,12.9,17.6,33,0.00,288,2026-01-04 10:24:49
34,1,3.4,68.71,68.71,1.0,5.8,34,0.00,289,2026-01-04 10:24:52
35,20,10.0,796.02,39.80,10.7,15.2,35,0.00,309,2026-01-04 10:25:02
36,6,5.1,577.27,96.21,1.1,5.8,36,0.00,315,2026-01-04 10:25:07
37,11,6.9,776.72,70.61,1.0,5.7,37,0.00,326,2026-01-04 10:25:14
38,11,7.2,565.70,51.43,10.8,15.7,38,0.00,337,2026-01-04 10:25:21
39,19,9.7,585.91,30.84,12.5,15.6,39,6566.59,356,2026-01-04 10:25:31
40,1,3.4,-31.30,-31.30,12.3,18.3,40,0.00,357,2026-01-04 10:25:34
41,12,7.2,483.90,40.32,8.9,13.1,41,0.00,369,2026-01-04 10:25:42
42,4,4.4,-35.49,-8.87,9.4,14.1,42,0.00,373,2026-01-04 10:25:46
43,3,4.1,168.75,56.25,1.0,5.7,43,0.00,376,2026-01-04 10:25:50
44,12,7.2,685.51,57.13,9.1,13.3,44,0.00,388,2026-01-04 10:25:58
45,2,3.7,-31.02,-15.51,14.0,20.9,45,0.00,390,2026-01-04 10:26:01
46,9,6.2,374.12,41.57,13.2,18.9,46,430.82,399,2026-01-04 10:26:07
47,1,3.4,-31.98,-31.98,10.0,14.0,47,0.00,400,2026-01-04 10:26:11
48,11,6.9,785.40,71.40,1.1,5.8,48,0.00,411,2026-01-04 10:26:18
49,9,6.2,574.08,63.79,9.3,13.6,49,0.00,420,2026-01-04 10:26:24
50,3,4.1,266.49,88.83,10.1,14.8,50,0.00,423,2026-01-04 10:26:28
51,11,6.9,679.59,61.78,13.1,19.1,51,0.00,434,2026-01-04 10:26:35
52,2,3.7,171.23,85.62,1.0,5.8,52,0.00,436,2026-01-04 10:26:39
53,9,6.1,578.45,64.27,10.1,15.4,53,0.00,445,2026-01-04 10:26:45
54,4,4.4,-27.71,-6.93,10.1,14.1,54,0.00,449,2026-01-04 10:26:49
55,6,5.7,473.08,78.85,10.0,14.7,55,0.00,455,2026-01-04 10:26:55
56,5,4.8,468.82,93.76,13.7,18.6,56,35.04,460,2026-01-04 10:27:00
57,1,3.4,70.15,70.15,10.1,14.2,57,0.00,461,2026-01-04 10:27:03
58,5,4.8,476.36,95.27,9.1,13.7,58,0.00,466,2026-01-04 10:27:08
59,2,3.7,-30.52,-15.26,12.3,17.3,59,0.00,468,2026-01-04 10:27:12
60,2,3.7,174.18,87.09,10.2,14.0,60,0.00,470,2026-01-04 10:27:16
61,1,3.4,68.29,68.29,9.9,14.0,61,0.00,471,2026-01-04 10:27:19
62,9,6.2,679.25,75.47,12.3,18.9,62,0.00,480,2026-01-04 10:27:25
63,2,3.7,170.14,85.07,1.0,5.7,63,0.00,482,2026-01-04 10:27:29
64,9,6.2,673.26,74.81,9.9,13.0,64,178.69,491,2026-01-04 10:27:36
65,1,3.4,69.79,69.79,1.0,5.7,65,0.00,492,2026-01-04 10:27:39
66,8,6.7,264.32,33.04,10.0,14.0,66,0.00,500,2026-01-04 10:27:46
67,12,7.2,777.12,64.76,1.0,5.8,67,0.00,512,2026-01-04 10:27:53
68,24,11.4,780.83,32.53,1.0,5.8,68,0.00,536,2026-01-04 10:28:05
69,20,10.0,767.80,38.39,1.0,5.8,69,0.00,556,2026-01-04 10:28:15
70,11,6.9,771.27,70.12,9.6,14.0,70,0.00,567,2026-01-04 10:28:22
71,12,7.3,775.44,64.62,1.1,5.8,71,0.00,579,2026-01-04 10:28:29
72,6,5.9,473.01,78.84,13.8,20.7,72,0.00,585,2026-01-04 10:28:35
73,2,3.7,166.29,83.15,8.9,13.2,73,0.00,587,2026-01-04 10:28:39
74,2,3.7,-31.21,-15.60,10.0,14.2,74,0.00,589,2026-01-04 10:28:42
75,10,6.5,779.58,77.96,1.1,5.9,75,0.00,599,2026-01-04 10:28:49
76,11,7.0,778.46,70.77,1.1,5.8,76,0.00,610,2026-01-04 10:28:56
77,29,13.2,806.69,27.82,1.0,5.8,77,0.00,639,2026-01-04 10:29:09
78,20,10.0,863.43,43.17,9.7,13.0,78,0.00,659,2026-01-04 10:29:19
79,1,3.4,68.82,68.82,14.8,21.5,79,0.00,660,2026-01-04 10:29:23
80,13,7.6,390.47,30.04,1.0,5.8,80,0.00,673,2026-01-04 10:29:30
81,11,6.8,781.07,71.01,1.1,5.8,81,0.00,684,2026-01-04 10:29:37
82,14,7.9,877.96,62.71,1.0,5.8,82,0.00,698,2026-01-04 10:29:45
83,15,8.2,872.33,58.16,1.1,5.9,83,0.00,713,2026-01-04 10:29:53
84,11,6.9,773.94,70.36,9.0,13.3,84,0.00,724,2026-01-04 10:30:00
85,2,3.7,-30.92,-15.46,1.0,5.8,85,0.00,726,2026-01-04 10:30:04
86,19,9.7,800.89,42.15,1.0,5.8,86,0.00,745,2026-01-04 10:30:14
87,10,6.5,672.48,67.25,10.5,14.6,87,0.00,755,2026-01-04 10:30:20
88,1,3.4,69.74,69.74,1.0,5.7,88,0.00,756,2026-01-04 10:30:24
89,24,11.4,804.30,33.51,9.5,13.7,89,0.00,780,2026-01-04 10:30:35
90,6,5.1,464.77,77.46,13.3,18.0,90,38.78,786,2026-01-04 10:30:40
91,1,3.4,68.77,68.77,12.3,18.1,91,399.41,787,2026-01-04 10:30:44
92,1,3.4,-30.11,-30.11,13.5,20.1,92,0.00,788,2026-01-04 10:30:47
93,18,9.3,410.20,22.79,1.1,5.8,93,0.00,806,2026-01-04 10:30:56
94,15,8.3,770.84,51.39,1.1,5.9,94,0.00,821,2026-01-04 10:31:05
95,8,5.8,481.16,60.14,9.4,12.2,95,0.00,829,2026-01-04 10:31:11
96,1,3.4,68.80,68.80,10.6,15.6,96,0.00,830,2026-01-04 10:31:14
97,7,5.5,581.06,83.01,9.6,13.7,97,0.00,837,2026-01-04 10:31:19
98,6,5.1,566.91,94.48,1.0,5.7,98,0.00,843,2026-01-04 10:31:25
99,13,7.8,693.76,53.37,14.1,20.2,99,0.00,856,2026-01-04 10:31:32
100,1,3.4,70.19,70.19,15.3,22.3,100,0.00,857,2026-01-04 10:31:36
