Episode,Step,Timestamp,Speed_ms,Throttle,Steering,Brake,Damage,Damage_Increase,Total_Damage,Gx,Gy,Gz,Distance_From_Origin,Distance_From_Checkpoint,Position_X,Position_Y,Position_Z,Position_Delta,Stationary_Timer,Crash_Detected,Stationary_Timeout,Flipped,Reward,Event_Type
0,0,2026-01-04 11:45:03.972,8.68,1.00,37.14,0.00,0.000,0.000,0.000,1.25,-6.70,-8.98,6.6,6.6,-722.0,96.1,118.5,2.527,0.0,False,False,False,204.18,
0,1,2026-01-04 11:45:04.309,9.77,0.41,-200.47,0.00,0.000,0.000,0.000,-6.43,-1.53,-9.97,9.8,9.8,-724.2,93.9,118.5,2.975,0.0,False,False,False,3.49,
0,2,2026-01-04 11:45:04.658,10.56,0.35,181.39,0.08,0.000,0.000,0.000,5.08,-2.45,-10.17,12.9,12.9,-726.8,91.9,118.4,3.048,0.0,False,False,False,1.93,
0,3,2026-01-04 11:45:04.999,10.85,0.39,-122.58,0.05,0.000,0.000,0.000,-3.95,-0.94,-9.90,16.5,16.5,-729.4,89.5,118.4,3.391,0.0,False,False,False,3.47,
0,4,2026-01-04 11:45:05.335,12.07,0.50,-88.77,0.00,0.000,0.000,0.000,-4.44,-4.63,-9.35,20.3,20.3,-732.4,87.2,118.4,3.604,0.0,False,False,False,5.71,
0,5,2026-01-04 11:45:05.689,13.25,0.59,-103.28,0.05,0.000,0.000,0.000,-5.81,-3.29,-10.05,24.4,24.4,-736.1,85.1,118.4,3.816,0.0,False,False,False,5.82,
0,6,2026-01-04 11:45:06.030,13.89,0.71,-265.86,0.00,0.000,0.000,0.000,-8.54,-0.07,-10.29,28.5,28.5,-740.1,83.6,118.3,4.102,0.0,False,False,False,4.84,
0,7,2026-01-04 11:45:06.365,15.13,0.82,97.37,0.00,0.000,0.000,0.000,-0.83,-5.22,-9.87,32.9,32.9,-744.8,82.6,118.3,4.563,0.0,False,False,False,803.55,
0,8,2026-01-04 11:45:06.701,15.52,0.51,-208.42,0.00,0.000,0.000,0.000,-15.43,3.79,-28.30,37.7,37.7,-749.9,81.9,118.3,4.929,0.0,False,False,False,802.26,
0,9,2026-01-04 11:45:07.051,15.00,0.57,-288.41,0.06,129.615,0.000,129.615,-1.29,-0.12,-3.46,42.2,42.2,-755.0,81.7,118.6,4.781,0.0,True,False,False,772.09,CRASH
0,10,2026-01-04 11:45:10.482,3.32,0.63,215.07,0.00,0.000,0.000,0.000,1.54,-2.50,-10.13,2.1,40.2,-718.8,99.3,118.5,0.996,0.0,False,False,False,198.59,
0,11,2026-01-04 11:45:10.824,3.85,0.96,-79.29,0.00,0.000,0.000,0.000,-2.65,-1.92,-10.05,3.3,39.1,-719.5,98.3,118.5,1.142,0.0,False,False,False,-0.38,
0,12,2026-01-04 11:45:11.173,4.96,0.75,55.97,0.04,0.000,0.000,0.000,0.74,-3.46,-10.60,4.8,37.7,-720.5,97.2,118.5,1.458,0.0,False,False,False,1.04,
0,13,2026-01-04 11:45:11.524,6.66,0.79,236.29,0.02,0.000,0.000,0.000,4.51,-4.59,-8.88,6.8,36.0,-721.7,95.5,118.5,1.933,0.0,False,False,False,1.30,
0,14,2026-01-04 11:45:11.862,8.48,0.71,113.42,0.00,0.000,0.000,0.000,2.98,-5.76,-8.84,9.3,34.2,-722.8,93.3,118.5,2.404,0.0,False,False,False,1.88,
0,15,2026-01-04 11:45:12.214,9.96,0.43,79.38,0.00,0.000,0.000,0.000,2.78,-3.43,-10.32,12.5,32.2,-724.0,90.2,118.4,2.966,0.0,False,False,False,2.97,
