Episode,Step,Timestamp,Speed_ms,Throttle,Steering,Brake,Damage,Damage_Increase,Total_Damage,Gx,Gy,Gz,Distance_From_Origin,Distance_From_Checkpoint,Position_X,Position_Y,Position_Z,Position_Delta,Stationary_Timer,Crash_Detected,Stationary_Timeout,Flipped,Reward,Event_Type
0,0,2026-01-04 12:45:24.198,8.06,0.67,229.33,0.03,0.000,0.000,0.000,4.77,-4.12,-9.92,6.2,6.2,-721.6,96.3,118.5,2.281,0.0,False,False,False,202.35,
0,1,2026-01-04 12:45:24.549,9.52,0.86,270.58,0.00,0.000,0.000,0.000,9.46,-3.27,-8.84,9.2,9.2,-723.1,93.7,118.5,2.941,0.0,False,False,False,4.68,
0,2,2026-01-04 12:45:24.901,10.57,0.98,267.30,0.00,0.000,0.000,0.000,9.19,-2.78,-9.92,12.4,12.4,-724.0,90.3,118.4,3.344,0.0,False,False,False,4.77,
0,3,2026-01-04 12:45:25.253,10.69,0.57,-241.87,0.03,0.000,0.000,0.000,-5.19,-0.24,-17.36,15.8,15.8,-724.1,86.5,118.5,3.571,0.0,False,False,False,1.32,
0,4,2026-01-04 12:45:25.604,10.33,0.49,-300.16,0.03,0.000,0.000,0.000,-7.59,1.80,-7.32,19.3,19.3,-724.6,82.9,118.6,3.497,0.0,False,False,False,4.50,
0,5,2026-01-04 12:45:25.971,7.58,0.63,-366.84,0.03,5054.131,0.000,5054.131,-4.92,-2.65,-10.12,22.0,22.0,-726.2,80.7,118.5,2.419,0.0,True,False,False,-26.17,CRASH
0,6,2026-01-04 12:45:29.383,3.28,0.96,126.32,0.00,0.000,0.000,0.000,1.65,-1.98,-10.19,2.1,20.1,-718.8,99.3,118.5,0.981,0.0,False,False,False,199.33,
0,7,2026-01-04 12:45:29.729,4.03,0.50,277.83,0.00,0.000,0.000,0.000,2.31,-1.80,-10.16,3.3,18.9,-719.5,98.3,118.5,1.156,0.0,False,False,False,0.55,
0,8,2026-01-04 12:45:30.081,4.58,0.98,298.94,0.08,0.000,0.000,0.000,3.17,-1.50,-10.16,4.4,17.7,-720.0,97.2,118.5,1.150,0.0,False,False,False,1.39,
0,9,2026-01-04 12:45:30.417,5.78,0.69,270.84,0.04,0.000,0.000,0.000,3.79,-3.42,-10.53,6.1,16.0,-720.5,95.6,118.5,1.635,0.0,False,False,False,1.73,
