Episode,Steps,Time_s,Total_Reward,Avg_Reward,Final_Distance_m,Max_Speed_mph,Crashes,Final_Damage,Buffer_Size,Timestamp
1,6,5.1,191.46,31.91,1.0,5.7,1,0.00,6,2026-01-04 12:45:29
2,9,6.2,156.59,17.40,9.5,13.5,2,0.00,15,2026-01-04 12:45:35
3,1,3.4,171.78,171.78,0.9,5.6,3,0.00,16,2026-01-04 12:45:38
4,14,7.9,4199.61,299.97,11.9,16.9,4,0.00,30,2026-01-04 12:45:46
5,2,3.7,171.82,85.91,13.8,20.5,5,0.00,32,2026-01-04 12:45:50
6,1,3.4,170.09,170.09,14.1,21.1,6,0.00,33,2026-01-04 12:45:53
7,5,4.8,1791.91,358.38,1.1,5.8,7,0.00,38,2026-01-04 12:45:58
8,40,17.1,6613.88,165.35,11.7,14.8,8,6326.31,78,2026-01-04 12:46:15
9,1,3.4,168.08,168.08,9.8,13.9,9,0.00,79,2026-01-04 12:46:18
10,5,4.7,174.96,34.99,12.1,17.7,10,68.65,84,2026-01-04 12:46:23
11,1,3.4,170.19,170.19,9.3,13.8,11,0.00,85,2026-01-04 12:46:27
12,4,5.2,157.31,39.33,12.8,19.5,12,0.00,89,2026-01-04 12:46:32
13,7,5.5,2595.77,370.82,10.2,15.5,13,0.00,96,2026-01-04 12:46:37
14,26,12.1,5836.48,224.48,9.6,13.9,14,0.00,122,2026-01-04 12:46:49
15,8,5.8,175.89,21.99,1.1,5.8,15,0.00,130,2026-01-04 12:46:55
16,14,7.9,3402.75,243.05,9.8,14.1,16,0.00,144,2026-01-04 12:47:03
17,16,8.6,5796.32,362.27,1.1,5.8,17,0.00,160,2026-01-04 12:47:12
18,10,6.5,181.66,18.17,14.4,18.9,18,102.87,170,2026-01-04 12:47:18
19,1,3.4,170.49,170.49,10.0,13.9,19,0.00,171,2026-01-04 12:47:22
20,6,5.2,181.73,30.29,9.2,13.4,20,0.00,177,2026-01-04 12:47:27
21,3,4.1,172.55,57.52,9.7,14.1,21,0.00,180,2026-01-04 12:47:31
22,11,6.9,4200.51,381.86,13.1,19.4,22,0.00,191,2026-01-04 12:47:38
23,9,6.2,4195.19,466.13,1.0,5.8,23,0.00,200,2026-01-04 12:47:44
24,11,6.9,190.59,17.33,1.0,5.8,24,0.00,211,2026-01-04 12:47:51
25,11,6.9,184.22,16.75,12.3,18.2,25,0.00,222,2026-01-04 12:47:58
26,2,3.7,175.66,87.83,9.4,12.1,26,0.00,224,2026-01-04 12:48:02
27,2,3.7,168.49,84.25,9.3,13.6,27,0.00,226,2026-01-04 12:48:06
28,4,4.4,173.58,43.39,1.1,5.8,28,0.00,230,2026-01-04 12:48:10
29,11,6.9,998.84,90.80,1.1,5.8,29,0.00,241,2026-01-04 12:48:17
30,16,8.6,5004.51,312.78,12.7,18.8,30,0.00,257,2026-01-04 12:48:26
