Episode,Steps,Time_s,Total_Reward,Avg_Reward,Final_Distance_m,Max_Speed_mph,Crashes,Final_Damage,Buffer_Size,Timestamp
36,14,8.2,4991.28,356.52,0.3,4.1,36,0.00,449,2026-01-04 11:49:33
37,24,11.8,7411.21,308.80,4.6,10.0,37,0.00,473,2026-01-04 11:49:45
38,9,6.3,177.55,19.73,5.5,10.9,38,0.00,482,2026-01-04 11:49:51
39,16,8.9,5009.38,313.09,0.8,5.2,39,0.00,498,2026-01-04 11:50:00
40,40,17.1,5837.79,145.94,0.7,5.0,40,0.00,538,2026-01-04 11:50:17
41,23,11.3,6583.45,286.24,5.4,10.5,41,0.00,561,2026-01-04 11:50:29
42,10,6.6,982.69,98.27,0.6,4.9,42,0.00,571,2026-01-04 11:50:35
43,15,8.4,987.38,65.83,8.8,15.1,43,0.00,586,2026-01-04 11:50:44
44,5,4.8,178.44,35.69,0.8,5.3,44,0.00,591,2026-01-04 11:50:49
45,21,10.4,6616.99,315.09,0.7,5.1,45,0.00,612,2026-01-04 11:50:59
46,23,11.2,6600.11,286.96,7.9,12.5,46,0.00,635,2026-01-04 11:51:10
47,8,5.9,183.86,22.98,8.3,15.2,47,0.00,643,2026-01-04 11:51:16
48,9,6.2,2592.48,288.05,0.7,5.1,48,0.00,652,2026-01-04 11:51:22
49,15,8.4,2588.43,172.56,7.1,12.9,49,0.00,667,2026-01-04 11:51:31
50,12,7.3,4196.59,349.72,10.6,18.2,50,0.00,679,2026-01-04 11:51:38
51,17,9.2,5802.59,341.33,9.3,16.8,51,0.00,696,2026-01-04 11:51:47
52,1,3.4,171.08,171.08,0.6,5.0,52,0.00,697,2026-01-04 11:51:51
53,12,7.3,184.54,15.38,8.4,13.2,53,0.00,709,2026-01-04 11:51:58
54,5,4.7,172.97,34.59,12.3,4.8,54,8937.83,714,2026-01-04 11:52:03
55,1,3.4,167.69,167.69,9.8,15.3,55,0.00,715,2026-01-04 11:52:06
56,2,3.7,169.39,84.69,12.0,19.3,56,0.00,717,2026-01-04 11:52:10
57,1,3.4,168.67,168.67,1.0,5.6,57,0.00,718,2026-01-04 11:52:13
58,17,9.4,5818.39,342.26,10.2,16.5,58,0.00,735,2026-01-04 11:52:23
59,4,4.4,173.32,43.33,11.8,18.4,59,0.00,739,2026-01-04 11:52:27
60,4,4.4,172.64,43.16,13.9,21.1,60,0.00,743,2026-01-04 11:52:32
61,4,4.4,164.66,41.17,0.9,5.6,61,0.00,747,2026-01-04 11:52:36
62,13,7.5,187.75,14.44,1.0,5.7,62,0.00,760,2026-01-04 11:52:44
63,12,7.2,1788.32,149.03,1.0,5.8,63,0.00,772,2026-01-04 11:52:51
64,11,6.8,182.44,16.59,13.1,19.8,64,0.00,783,2026-01-04 11:52:58
65,4,4.4,179.44,44.86,1.0,5.7,65,0.00,787,2026-01-04 11:53:02
66,20,10.0,6605.26,330.26,1.1,5.8,66,0.00,807,2026-01-04 11:53:12
67,9,6.1,179.02,19.89,9.2,13.6,67,0.00,816,2026-01-04 11:53:18
68,8,5.8,186.06,23.26,12.3,18.0,68,0.00,824,2026-01-04 11:53:24
69,1,3.4,170.95,170.95,9.0,12.8,69,0.00,825,2026-01-04 11:53:28
70,9,6.2,991.71,110.19,0.9,5.5,70,0.00,834,2026-01-04 11:53:34
71,13,7.5,184.86,14.22,0.9,5.6,71,0.00,847,2026-01-04 11:53:41
72,12,7.2,190.92,15.91,8.0,12.6,72,0.00,859,2026-01-04 11:53:49
73,7,5.5,175.88,25.13,0.5,4.7,73,0.00,866,2026-01-04 11:53:54
74,22,10.8,5824.39,264.75,0.7,5.1,74,0.00,888,2026-01-04 11:54:05
75,13,7.6,987.11,75.93,0.8,5.5,75,0.00,901,2026-01-04 11:54:13
76,13,7.5,986.22,75.86,0.9,5.5,76,0.00,914,2026-01-04 11:54:20
77,17,9.0,5813.95,342.00,8.7,14.8,77,0.00,931,2026-01-04 11:54:29
78,8,5.9,1785.84,223.23,8.4,14.1,78,0.00,939,2026-01-04 11:54:35
79,4,4.4,171.65,42.91,0.9,5.5,79,0.00,943,2026-01-04 11:54:40
80,15,8.3,1802.83,120.19,11.2,18.3,80,0.00,958,2026-01-04 11:54:48
81,5,5.4,170.15,34.03,11.5,18.9,81,0.00,963,2026-01-04 11:54:54
82,10,6.6,5007.85,500.78,0.7,5.1,82,0.00,973,2026-01-04 11:55:00
83,9,7.0,187.86,20.87,0.7,5.2,83,0.00,982,2026-01-04 11:55:07
84,17,9.1,5010.36,294.73,0.8,5.3,84,0.00,999,2026-01-04 11:55:16
85,13,7.6,192.09,14.78,11.0,18.3,85,0.00,1012,2026-01-04 11:55:24
86,14,7.9,4994.03,356.72,8.6,14.2,86,0.00,1026,2026-01-04 11:55:32
87,14,7.9,5790.06,413.58,8.5,13.6,87,0.00,1040,2026-01-04 11:55:40
88,13,7.6,4989.29,383.79,8.2,12.8,88,0.00,1053,2026-01-04 11:55:47
89,7,5.5,178.56,25.51,8.5,13.1,89,0.00,1060,2026-01-04 11:55:53
90,12,7.3,3390.43,282.54,10.9,18.3,90,0.00,1072,2026-01-04 11:56:00
91,5,4.8,175.27,35.05,0.6,5.0,91,0.00,1077,2026-01-04 11:56:05
92,13,7.6,186.77,14.37,0.8,5.3,92,0.00,1090,2026-01-04 11:56:13
93,13,7.6,993.38,76.41,10.4,17.6,93,0.00,1103,2026-01-04 11:56:20
94,5,4.8,178.51,35.70,0.8,5.3,94,0.00,1108,2026-01-04 11:56:25
95,17,9.0,5007.25,294.54,9.4,15.6,95,0.00,1125,2026-01-04 11:56:34
96,4,4.4,173.59,43.40,10.8,18.5,96,0.00,1129,2026-01-04 11:56:39
97,3,4.1,172.14,57.38,7.9,12.0,97,0.00,1132,2026-01-04 11:56:43
98,4,4.5,173.24,43.31,11.0,18.1,98,0.00,1136,2026-01-04 11:56:47
99,4,4.4,178.43,44.61,7.4,11.6,99,0.00,1140,2026-01-04 11:56:52
100,4,4.4,173.44,43.36,10.9,18.0,100,0.00,1144,2026-01-04 11:56:56
