Episode,Steps,Time_s,Total_Reward,Avg_Reward,Final_Distance_m,Max_Speed_mph,Crashes,Final_Damage,Buffer_Size,Timestamp
1,10,6.5,2607.33,260.73,1.0,5.7,1,0.00,10,2026-01-04 11:45:10
2,17,8.9,5785.42,340.32,1.0,5.8,2,0.00,27,2026-01-04 11:45:19
3,19,9.6,5798.93,305.21,0.9,5.7,3,0.00,46,2026-01-04 11:45:28
4,10,6.5,184.43,18.44,1.1,5.8,4,0.00,56,2026-01-04 11:45:35
5,17,8.9,5000.16,294.13,1.0,5.8,5,0.00,73,2026-01-04 11:45:44
6,16,8.6,5012.01,313.25,1.0,5.7,6,0.00,89,2026-01-04 11:45:52
7,18,9.3,4991.58,277.31,0.9,5.5,7,0.00,107,2026-01-04 11:46:02
8,10,6.8,175.58,17.56,9.5,13.8,8,0.00,117,2026-01-04 11:46:08
9,9,6.2,1792.28,199.14,1.0,5.7,9,0.00,126,2026-01-04 11:46:15
10,21,10.4,5806.65,276.51,1.0,5.8,10,0.00,147,2026-01-04 11:46:25
11,12,7.2,186.25,15.52,9.8,14.9,11,0.00,159,2026-01-04 11:46:32
12,15,8.2,5011.68,334.11,8.6,12.9,12,0.00,174,2026-01-04 11:46:41
13,2,3.7,168.67,84.33,8.9,14.5,13,0.00,176,2026-01-04 11:46:44
14,10,6.6,1797.01,179.70,0.1,3.4,14,0.00,186,2026-01-04 11:46:51
15,17,9.9,1786.85,105.11,4.5,9.9,15,0.00,203,2026-01-04 11:47:01
16,8,5.9,181.37,22.67,0.7,5.1,16,0.00,211,2026-01-04 11:47:07
17,10,6.6,179.47,17.95,5.0,11.6,17,0.00,221,2026-01-04 11:47:13
18,14,8.2,3397.86,242.70,0.5,4.8,18,0.00,235,2026-01-04 11:47:22
19,23,11.3,5780.27,251.32,8.0,13.3,19,0.00,258,2026-01-04 11:47:33
20,12,7.2,4174.25,347.85,0.6,4.8,20,0.00,270,2026-01-04 11:47:40
21,26,12.3,6616.96,254.50,0.4,4.4,21,0.00,296,2026-01-04 11:47:53
22,14,8.1,184.80,13.20,9.5,15.8,22,0.00,310,2026-01-04 11:48:01
23,2,3.8,169.70,84.85,0.6,5.0,23,0.00,312,2026-01-04 11:48:05
24,18,9.4,5011.60,278.42,0.8,5.3,24,0.00,330,2026-01-04 11:48:14
25,11,7.0,182.57,16.60,0.6,4.9,25,0.00,341,2026-01-04 11:48:21
26,13,7.6,189.99,14.61,0.7,5.1,26,0.00,354,2026-01-04 11:48:29
27,12,7.3,182.33,15.19,7.4,12.1,27,0.00,366,2026-01-04 11:48:36
28,5,4.8,172.71,34.54,9.1,14.3,28,0.00,371,2026-01-04 11:48:41
29,2,3.7,169.33,84.67,8.2,12.8,29,0.00,373,2026-01-04 11:48:45
30,6,5.1,185.78,30.96,0.8,5.3,30,0.00,379,2026-01-04 11:48:50
31,12,7.2,152.72,12.73,0.9,5.5,31,0.00,391,2026-01-04 11:48:57
32,13,7.7,995.11,76.55,7.4,12.9,32,0.00,404,2026-01-04 11:49:05
33,18,9.5,7412.08,411.78,7.5,12.2,33,0.00,422,2026-01-04 11:49:14
34,1,3.4,170.87,170.87,7.9,12.8,34,0.00,423,2026-01-04 11:49:18
35,12,7.3,4202.79,350.23,8.1,13.2,35,0.00,435,2026-01-04 11:49:25
